sex,year,age,country,SUM_suicides_no,SUM_population,SUM_suicides_per100k_pop
female,2001,15-24 years,Argentina,166,3262682,5.09
female,2001,15-24 years,Aruba,0,5897,0
female,2001,15-24 years,Australia,63,1303713,4.83
female,2001,15-24 years,Belgium,35,612659,5.71
female,2001,15-24 years,Brazil,393,17361833,2.26
female,2001,15-24 years,Bulgaria,25,539883,4.63
female,2001,15-24 years,Canada,105,2059190,5.1
female,2001,15-24 years,Chile,60,1266054,4.74
female,2001,15-24 years,Colombia,302,3976430,7.59
female,2001,15-24 years,Cuba,48,725348,6.62
female,2001,15-24 years,Denmark,7,294773,2.37
female,2001,15-24 years,Fiji,5,80653,6.2
female,2001,15-24 years,Finland,22,321239,6.85
female,2001,15-24 years,France,135,3785067,3.57
female,2001,15-24 years,Germany,124,4561925,2.72
female,2001,15-24 years,Greece,2,735081,0.27
female,2001,15-24 years,Guatemala,30,1253297,2.39
female,2001,15-24 years,Hungary,31,713068,4.35
female,2001,15-24 years,Iceland,0,21182,0
female,2001,15-24 years,Ireland,14,313247,4.47
female,2001,15-24 years,Israel,9,536217,1.68
female,2001,15-24 years,Italy,42,3212330,1.31
female,2001,15-24 years,Japan,522,7460000,7
female,2001,15-24 years,Kuwait,0,158070,0
female,2001,15-24 years,Maldives,0,32184,0
female,2001,15-24 years,Malta,1,28539,3.5
female,2001,15-24 years,Mauritius,13,101083,12.86
female,2001,15-24 years,Mexico,263,10198732,2.58
female,2001,15-24 years,Montenegro,0,48660,0
female,2001,15-24 years,Netherlands,32,934725,3.42
female,2001,15-24 years,New Zealand,23,263730,8.72
female,2001,15-24 years,Norway,20,264797,7.55
female,2001,15-24 years,Panama,9,284647,3.16
female,2001,15-24 years,Paraguay,25,536659,4.66
female,2001,15-24 years,Philippines,104,7738503,1.34
female,2001,15-24 years,Poland,76,3172760,2.4
female,2001,15-24 years,Portugal,8,717211,1.12
female,2001,15-24 years,Puerto Rico,4,303110,1.32
female,2001,15-24 years,Qatar,0,32124,0
female,2001,15-24 years,Republic of Korea,228,3688341,6.18
female,2001,15-24 years,Romania,31,1739076,1.78
female,2001,15-24 years,Russian Federation,1065,11270161,9.45
female,2001,15-24 years,Serbia,12,498990,2.4
female,2001,15-24 years,Seychelles,0,7832,0
female,2001,15-24 years,Singapore,16,209200,7.65
female,2001,15-24 years,Slovakia,7,448751,1.56
female,2001,15-24 years,Slovenia,10,138713,7.21
female,2001,15-24 years,South Africa,27,4783006,0.56
female,2001,15-24 years,Spain,40,2774641,1.44
female,2001,15-24 years,Sri Lanka,394,1778830,22.15
female,2001,15-24 years,Sweden,18,502901,3.58
female,2001,15-24 years,Switzerland,21,414858,5.06
female,2001,15-24 years,Trinidad and Tobago,16,128825,12.42
female,2001,15-24 years,Turkmenistan,33,460455,7.17
female,2001,15-24 years,United Kingdom,72,3581981,2.01
female,2001,15-24 years,United States,562,19463211,2.89
female,2001,15-24 years,Uruguay,13,254779,5.1
female,2001,15-24 years,Uzbekistan,176,2538466,6.93
female,2001,25-34 years,Argentina,82,2690206,3.05
