sex,year,SUM_suicides_no
female,2001,52999
female,2002,55549
female,2003,55627
female,2004,53232
female,2005,52035
female,2006,52039
female,2007,53324
female,2008,53973
female,2009,54920
female,2010,54222
female,2011,54616
female,2012,53011
female,2013,51459
female,2014,51556
female,2015,47248
male,2001,197653
male,2002,200546
male,2003,200452
male,2004,187629
male,2005,182340
male,2006,181322
male,2007,180084
male,2008,181474
male,2009,188567
male,2010,184480
male,2011,181868
male,2012,177149
male,2013,171740
male,2014,171428
male,2015,156392
