sex,year,country,SUM of suicides_no
female,2001,Albania,35
female,2001,Antigua and Barbuda,0
female,2001,Argentina,676
female,2001,Armenia,12
female,2001,Aruba,0
female,2001,Australia,522
female,2001,Austria,408
female,2001,Azerbaijan,81
female,2001,Bahamas,0
female,2001,Bahrain,3
female,2001,Barbados,0
female,2001,Belarus,490
female,2001,Belgium,583
female,2001,Belize,2
female,2001,Brazil,1557
female,2001,Bulgaria,363
female,2001,Canada,823
female,2001,Chile,233
female,2001,Colombia,557
female,2001,Costa Rica,28
female,2001,Croatia,225
female,2001,Cuba,449
female,2001,Czech Republic,329
female,2001,Denmark,220
female,2001,Ecuador,185
female,2001,El Salvador,152
female,2001,Estonia,86
female,2001,Fiji,8
female,2001,Finland,271
female,2001,France,2789
female,2001,Georgia,27
female,2001,Germany,2971
female,2001,Greece,48
female,2001,Grenada,0
female,2001,Guatemala,52
female,2001,Guyana,43
female,2001,Hungary,696
female,2001,Iceland,8
female,2001,Ireland,79
female,2001,Israel,75
female,2001,Italy,980
female,2001,Jamaica,1
female,2001,Japan,8264
female,2001,Kazakhstan,658
female,2001,Kiribati,0
female,2001,Kuwait,5
female,2001,Kyrgyzstan,77
female,2001,Latvia,137
female,2001,Lithuania,278
female,2001,Luxembourg,23
female,2001,Maldives,1
female,2001,Malta,7
female,2001,Mauritius,37
female,2001,Mexico,672
female,2001,Montenegro,0
female,2001,Netherlands,464
female,2001,New Zealand,119
female,2001,Norway,138
female,2001,Panama,23
female,2001,Paraguay,54
female,2001,Philippines,277
female,2001,Poland,850
female,2001,Portugal,175
female,2001,Puerto Rico,34
female,2001,Qatar,5
female,2001,Republic of Korea,2059
female,2001,Romania,442
female,2001,Russian Federation,9006
female,2001,Saint Lucia,0
female,2001,Saint Vincent and Grenadines,1
female,2001,Serbia,417
female,2001,Seychelles,1
female,2001,Singapore,115
female,2001,Slovakia,112
female,2001,Slovenia,122
female,2001,South Africa,72
female,2001,Spain,759
female,2001,Sri Lanka,1008
female,2001,Suriname,16
female,2001,Sweden,364
female,2001,Switzerland,393
female,2001,Trinidad and Tobago,38
female,2001,Turkmenistan,78
female,2001,Ukraine,2192
female,2001,United Kingdom,929
female,2001,United States,5949
female,2001,Uruguay,109
female,2001,Uzbekistan,452
female,2002,Albania,42
female,2002,Antigua and Barbuda,0
female,2002,Argentina,703
female,2002,Armenia,12
female,2002,Aruba,0
female,2002,Australia,506
female,2002,Austria,363
female,2002,Azerbaijan,19
female,2002,Bahamas,0
female,2002,Bahrain,7
female,2002,Barbados,0
female,2002,Belarus,511
female,2002,Belgium,579
female,2002,Belize,5
female,2002,Brazil,1694
female,2002,Bulgaria,336
female,2002,Canada,799
female,2002,Chile,246
female,2002,Colombia,564
female,2002,Costa Rica,39
female,2002,Croatia,230
female,2002,Cuba,459
female,2002,Czech Republic,318
female,2002,Denmark,185
female,2002,Ecuador,180
female,2002,El Salvador,132
female,2002,Estonia,72
female,2002,Fiji,16
female,2002,Finland,271
female,2002,France,2915
female,2002,Germany,3059
female,2002,Greece,66
female,2002,Grenada,0
female,2002,Guatemala,64
female,2002,Guyana,34
female,2002,Hungary,647
female,2002,Iceland,10
female,2002,Ireland,81
female,2002,Israel,91
female,2002,Italy,924
female,2002,Jamaica,0
female,2002,Japan,8248
female,2002,Kazakhstan,678
female,2002,Kuwait,11
female,2002,Kyrgyzstan,100
female,2002,Latvia,149
female,2002,Lithuania,242
female,2002,Luxembourg,22
female,2002,Maldives,1
female,2002,Malta,8
female,2002,Mauritius,29
female,2002,Mexico,656
female,2002,Montenegro,0
female,2002,Netherlands,507
female,2002,New Zealand,113
female,2002,Norway,132
female,2002,Panama,30
female,2002,Paraguay,66
female,2002,Philippines,302
female,2002,Poland,992
female,2002,Portugal,263
female,2002,Puerto Rico,37
female,2002,Republic of Korea,2672
female,2002,Romania,528
female,2002,Russian Federation,9057
female,2002,Saint Lucia,4
female,2002,Saint Vincent and Grenadines,1
female,2002,Serbia,395
female,2002,Seychelles,0
female,2002,Singapore,129
female,2002,Slovakia,100
female,2002,Slovenia,107
female,2002,South Africa,47
female,2002,Spain,817
female,2002,Sri Lanka,917
female,2002,Suriname,21
female,2002,Sweden,318
female,2002,Switzerland,466
female,2002,Thailand,1190
female,2002,Trinidad and Tobago,27
female,2002,Turkmenistan,80
female,2002,Ukraine,2169
female,2002,United Kingdom,953
female,2002,United States,6246
female,2002,Uruguay,141
female,2002,Uzbekistan,399
female,2003,Albania,51
female,2003,Antigua and Barbuda,0
female,2003,Argentina,684
female,2003,Armenia,9
female,2003,Aruba,0
female,2003,Australia,471
female,2003,Austria,388
female,2003,Azerbaijan,36
female,2003,Bahamas,0
